Food,Price Per Serving [$],Variable Name,Serving Size,Weight [g],Weight [oz],Calcium [mg],percent water,Energy [kcal],Protein [g],Carbohydrate [g],Fiber [g],Cholesterol [mg],Total Fat [g],Iron [mg],Magnesium [mg],Sodium [mg],Phosphorous [mg],Potassium [mg],Zinc [mg],Niacin [mg],Thiamin [mg],Riboflavin [mg],Vit A [RE],Vit B6 [mg],Vit C [mg],Food type
Chicken breast fried w/batter,0.98,friedChicken,1 ea,140,4.93836,28,52,364,34.8,12.6,0,119,18.5,1.8,34,385,258,282,1.3,14.7,0.16,0.2,28,0.6,0,POULTRY
Chili powder,0.1,chilliPowder,1 tsp,3,0.105822,7,8,8,0.3,1.4,0.6,0,0.4,0.4,4,26,8,50,0.1,0.2,0.01,0.02,91,,2,MISCELLANEOUS
Chocolate Chip cookies commercial,0.75,cookiesChocolateChip,4 ea,42,1.481508,16,4,180,2.3,28,0.2,5,8.8,0.8,9,140,41,56,0.3,0.9,0.1,0.23,15,0.02,0,BAKED GOODS
Clams - raw,0.85,rawClam,3 oz,85,2.99829,59,82,65,11,0.2,0,43,1,2.6,31,102,138,154,1.4,1.1,0.09,0.15,26,0.07,9,FISH/SHELLFISH
Coffee Brewed,0.39,brewedCoffee,1 cup,240,8.46576,4,99,2,0.1,1.1,0,0,0,1,14,5,2,130,0,0.53,0,0,0,0,0,BEVERAGES
Coffee Instant,0.35,instantCoffee,1 cup,240,8.46576,8,99,2,0.3,0.9,0,0,0,0.1,11,8,8,87,0.1,0.69,0,0.01,0,0,0,BEVERAGES
Cole slaw,0.49,coleSlaw,1 cup,120,4.23288,54,82,84,1.5,14.9,2.4,10,3.1,0.7,12,28,38,218,0.2,0.33,0.08,0.07,98,0.17,39,MIXED DISHES AND FAST FOODS
Corn Chips,0.23,cornChips,1 oz,28,0.987672,35,1,155,2,16,0.3,0,9,0.5,19,233,52,52,0.4,0.4,0.04,0.05,11,0.04,1,BAKED GOODS
Corn ,0.56,cornChips,1 ear,77,2.716098,2,70,83,2.6,19.4,3.6,0,1,0.5,25,13,79,192,0.4,1.24,0.17,0.06,17,0.18,5,VEGETABLES AND LEGUMES
Corn dog,2.63,cornDog,1 ea,111,3.915414,34,45,330,10,27.3,0.1,37,20,1.9,22,1252,303,164,1.4,3.27,0.28,0.17,0,0.11,3,MIXED DISHES AND FAST FOODS
Cottage Creamed small curd,1.92,cottageCream,1 cup,210,7.40754,126,79,215,26.2,5.6,0,31,8.9,0.3,11,850,277,177,0.8,0.27,0.04,0.34,101,0.14,0,DAIRY
Cream sour cultured,0.96,sourCream,1 cup,230,8.11302,268,71,493,7.3,9.8,0,102,48.2,0.1,26,123,195,331,0.7,0.15,0.08,0.34,448,0.04,2,DAIRY
Croissant 4 1/2 x 4 x 1 3/4 in,1.49,croissant,1 ea,57,2.010618,20,22,235,5,27,0.5,13,12,2.1,6,452,64,68,0.3,1.3,0.17,0.13,13,0.03,0,BAKED GOODS
Cucumber with peel,0.45,cucumber,6 slices,28,0.987672,4,96,4,0.2,0.8,0.4,0,0.1,0.1,3,0.6,5,42,0.1,0.09,0.01,0.01,1,0.01,1,VEGETABLES AND LEGUMES
Custard baked,0.78,bakedCustard,1 cup,265,9.34761,297,77,305,14,29,0,278,15,1.1,37,209,310,387,1.5,0.3,0.11,0.5,146,0.13,1,DAIRY
Dandelion greens (raw),0.34,dandelionGreen,1 cup,55,1.94007,147,86,25,1.5,5.1,0.9,0,0.4,1.9,20,42,36,218,0.6,0.39,0.1,0.14,770,0.04,19,VEGETABLES & LEGUMES
Dates whole without pits,0.54,dates,10 ea,83,2.927742,27,22,228,1.6,61,7.2,0,0.4,1,29,2,33,541,0.2,1.83,0.07,0.08,4,0.16,0,FRUITS
Duck meat only roasted,0.94,roastedDuck,1/2 duck,221,7.795554,27,64,445,51.9,0,0,198,24.8,6,44,143,449,557,5.8,11.3,0.57,1.04,51,0.55,0,POULTRY
Egg Nog commercial,1.9,eggNog,1 cup,254,8.959596,330,74,342,9.7,34.4,0,149,19,0.5,47,138,278,420,1.2,0.27,0.09,0.48,203,0.13,4,DAIRY
"Egg noodles, cooked",0.84,eggNoodle,1 cup,160,5.64384,16,70,200,6.6,37.3,0.2,50,2,2.6,28,3,94,70,0.2,1.9,0.22,0.13,34,0.01,0,GRAIN PRODUCTS
Eggplant cooked,0.5,cookedEggplant,1 cup,160,5.64384,10,92,45,1.3,10.6,6,0,0.4,0.6,21,5,35,397,0.2,0.96,0.12,0.03,10,0.14,2,VEGETABLES AND LEGUMES
Enchilada,2.89,enchilada,1 ea,230,8.11302,322,72,235,20,24,2,19,16,3.3,76,1332,198,653,1.2,0,0.18,0.26,352,0.25,0,MIXED DISHES AND FAST FOODS
"English muffin, plain",1.78,plainEnglishMuffin,1 ea,57,2.010618,96,42,140,4.5,26.2,1.5,0,1.1,1.7,11,378,67,331,0.4,2.14,0.26,0.18,0,0.02,0,BAKED GOODS
"English walnuts, chopped",1.56,englishWalnut,1 cup,120,4.23288,113,4,770,17.2,22,8.4,0,74.2,2.9,203,12,380,602,3.3,1.25,0.46,0.18,15,0.67,4,"NUTS, SEEDS AND PRODUCTS"
Fishsticks,0.23,fishstick,2 ea,56,1.975344,22,52,140,12,8,0,52,6,0.6,32,106,116,188,0.5,1.2,0.06,0.1,10,0.12,0,FISH AND SHELLFISH
"Frankfurter, beef and pork",0.15,beefAndPorkFrankfurter,1 ea,45,1.58733,5,54,145,5.1,1.1,0,23,13.1,0.5,5,504,39,75,0.8,1.18,0.09,0.05,0,0.06,12,SAUSAGES AND LUNCHMEATS
"Frankfurter, turkey",0.19,turkeyFrankfurter,1 ea,45,1.58733,53,63,102,6.4,0.7,0,44,8.3,0.8,8,550,71,84,1,1.77,0.11,0.12,17,0.09,0,SAUSAGES AND LUNCHMEATS
French fries fried in veg oil,0.13,frenchFriesFried,10 strips,50,1.7637,10,38,158,2,19.8,1.6,0,8.3,0.4,17,108,47,366,0.2,1.63,0.09,0.01,0,0.12,5,VEGETABLES AND LEGUMES
French fries oven heated,0.13,frenchFriesBaked,10 strips,50,1.7637,4,53,111,1.7,17,1.6,0,4.4,0.7,11,15,43,229,0.2,1.15,0.06,0.01,0,0.12,6,VEGETABLES AND LEGUMES
"Gin, Rum, Vodka, Whiskey 80 proof",0.92,ginRumVodkaWhiskey,1 1/2 fl oz,42,1.481508,0,67,97,0,0.1,0,0,0,0,0,0.4,2,1,0,0.01,0.01,0.01,0,0,0,BEVERAGES
Gingerbread,0.69,gingerBread,1 slice,95,3.35103,86,37,262,3,36,0.5,1,6.5,1.8,7,289,85,260,0.9,1.23,0.14,0.17,0,0.01,0,BAKED GOODS
Graham crackers,0.11,grahamCracker,2 ea,14,0.493836,6,4,60,1,10.8,1.4,0,1.5,0.4,5,86,20,36,0.1,0.6,0.02,0.03,0,0.01,0,BAKED GOODS
Grape Drink Canned,0.87,grapeDrink,1 cup,250,8.8185,18,88,112,0,34.7,0.3,0,0,0.8,15,34,14,154,0.1,0.67,0.07,0.04,9,0.1,115,BEVERAGES
Grape Nuts cereal,0.43,grapeNutCereal,1/2 cup,57,2.010618,22,3,202,6.6,26.4,3.3,0,0.2,2.5,38,394,142,190,1.2,10,0.8,0.8,753,1,0,GRAIN PRODUCTS
Ground beef lean,0.56,leanGroundBeef,3 oz,85,2.99829,9,56,230,21,0,0,74,16,1.8,21,65,134,256,3.7,4.4,0.04,0.18,0,0.39,0,MEAT
Ground beef regular,0.51,regularGroundBeef,3 oz,85,2.99829,9,54,245,20,0,0,76,17.8,2.1,18,70,144,248,3.9,4.9,0.03,0.16,0,0.39,0,MEAT
Ham luncheon meat canned,0.78,hamLuncheon,1 pce,21,0.740754,1,52,70,2.6,0.4,0,13,6.4,0.1,2,271,17,45,0.3,0.66,0.08,0.04,0,0.04,0,MEAT
Honeydew,0.67,honeyDew,1 pce,129,4.550346,8,90,45,0.6,11.8,1.4,0,0.1,0.1,9,13,13,350,0.1,0.77,0.1,0.02,5,0.08,32,FRUITS
Ice Cream Vanilla,0.77,vanillaIceCream,1 cup,133,4.691442,351,61,269,4.8,31.8,0,60,14.4,0.1,19,116,134,257,1.4,0.14,0.05,0.33,133,0.06,1,DAIRY
Ice Milk Vanilla,0.43,vanillaIceMilk,1 cup,131,4.620894,176,69,183,5.1,29,0,18,5.6,0.2,19,105,129,265,0.6,0.12,0.08,0.35,53,0.09,1,DAIRY
Kefir,0.48,kefir,1 cup,233,8.218842,350,82,160,9.3,8.8,0,10,4.5,0.5,28,50,319,205,0.9,0.3,0.45,0.44,155,0.09,6,DAIRY
